ModelID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,SangerModelID
ACH-000769,0.0,0.0,0.0,2.9338715,0.0,5.0802026,0.0,1.0079516,0.0,5.501714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.425397,0.0,0.280655,0.0,0.0,0.0,0.0,0.0,0.3230555,0.0,0.0,1.1505789,0.0,0.0,0.0,0.0,0.0,2.4378278,0.0,0.0,0.0,0.0,0.0,0.6236353,0.0,0.6269791,0.0,0.0,0.0,0.0,0.0,4.0345564,0.0,3.3456125,0.0,0.0,0.0,0.0,0.0,11.505845,0.0,6.2677875,0.0,2.022692,0.0,1.6989921,0.0,0.66775197,0.0,0.0,9.688006,0.0,0.0,4.878393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8199005,0.0,0.0,0.08013632,6.425115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676252,1.5703933,1.2042917,0.0,0.0,4.6641045,2.455323,3.7971137,0.0,0.0,0.0,0.0,0.0,8.426802,2.010856,9.887809,0.0,0.0,5.4603753,0.0,0.0,3.8435173,0.0,0.0,1.3538479,4.3600597,0.0,0.0,0.0,0.0,0.0,8.451902,0.0,0.0,0.0,7.4457545,0.0,7.3070173,2.0027199,2.8819506,4.0938277,9.845091,0.0,4.246643,0.0,0.0,0.0,0.026079297,0.0,0.0,0.0,2.7720253,0.0,0.0,0.0,0.0,6.955938,2.2135904,0.0,0.0,0.0,0.63245845,0.0,0.0,2.1058764,3.6422355,0.0,1.3905259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8888104,0.0,0.0,0.0,4.5804663,0.0,0.25236693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5121973,0.0,0.0,0.0,5.628458,0.0,0.0,0.0,0.0,0.0,0.0,1.4718153,0.0,0.0,0.0,0.0,6.645595,9.438155,0.0,0.0,0.16845055,0.14151534,0.0,0.0,4.484954,0.0,3.2847526,1.6248251,0.0,0.0,0.0,0.0,0.0,0.0,1.1716157,0.0,2.46456,0.0,0.0,0.0,2.2223618,4.2399325,5.6195216,12.310253,0.0,0.0,1.1687728,0.0,1.0443516,0.0,0.0,7.382567,1.3278396,0.0,0.0,0.0,0.0,0.9240688,7.578255,0.0,0.0,0.0,4.8947716,7.5632873,3.3854494,1.9119251,0.0,0.0,0.0,1.2939575,0.0,SIDM00548
ACH-000528,0.0,0.0,0.0,8.689753,0.0,9.536879,0.0,3.4912622,0.0,8.981647,0.0,0.0,0.0,2.3087945,0.9802343,7.804625,0.0,8.9825,0.0,0.0,0.0,0.0,0.0,0.07060369,0.0,0.0,0.0,0.0,0.0,1.9891232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.406278,0.0,0.0,3.7940938,0.41335192,0.7215663,0.0,6.1775265,0.0,0.20301285,0.0,0.0,0.0,5.6584287,7.302092,8.488144,0.0,0.0,0.0,3.1830022,0.0,0.0,8.908925,7.8005557,0.0,0.0,0.9581047,0.0,0.8599219,7.370588,0.0,1.6756495,0.0,7.418228,0.0,0.0,0.0,0.0,0.0,0.0,3.5508008,3.429058,0.0,0.0,0.0,0.0,0.0,3.6678402,0.0,0.0,0.0,5.7025847,3.7024586,0.0,7.418975,0.46161193,3.0183158,4.9971294,1.0817763,0.0,0.0,0.0,4.895024,0.37077034,0.0,0.72233534,6.3062863,0.0,0.0,0.0,0.9286434,0.061762948,0.9857523,2.6545134,0.0,10.522027,3.3694355,1.8451902,0.0,5.555195,0.0,7.1420846,6.4309864,3.6584291,0.0,0.0,7.291034,0.0,0.0,1.1770511,0.0,0.0,0.0,7.548408,3.7133977,0.0,1.9886158,0.0,0.0,0.86181676,3.6509728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595903,0.0,3.6615188,0.0,0.0,8.472323,5.720716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.801287,5.2592793,0.0,0.0,0.0,0.0,0.47490585,0.0,0.0,0.0,0.0,0.0,0.24062026,0.0,0.0,0.0,0.0,0.0,5.664206,0.0,0.0,0.0,9.412878,0.0,0.0,0.0,0.0,0.0,0.0,3.889377,0.0,0.0,0.0,0.0,0.0,0.0,7.369972,0.0,0.0,0.0,0.0,7.7555003,0.0,0.0,2.5255916,5.5317817,0.0,1.7139184,0.0,0.0,0.7574103,0.0,0.0,0.0,2.2921553,0.8984444,5.3759127,2.6160374,0.0,0.0,0.0,1.5899701,0.0,0.0,0.0,4.199949,1.4969921,0.0,0.0,5.849186,2.7685058,0.0,0.0,0.0,0.0,0.0,8.314675,7.772856,0.0,0.0,0.0,4.5823503,0.0,0.0,1.0898237,0.13091512,0.0,0.0,0.0,0.9197491,5.4115376,0.0,0.0,0.44989592,0.0,0.0,SIDM00494
ACH-000585,1.6016718,0.0,1.348526,0.0,0.19504318,1.056408,0.0,0.0,0.5036657,1.7280605,0.0,0.0,0.0,0.0,2.9976168,5.745544,2.188714,0.0,0.0,0.0,0.0,1.5461843,3.4117415,0.9884214,9.281695,0.0,2.4767115,0.0,0.0,0.0,0.0,0.0,2.6559722,0.0,0.0,0.0,0.0,0.3948011,3.187519,0.0,4.8603544,0.053392295,0.0,0.0,0.0,0.3578863,1.3524718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6844106,0.60592717,0.51876485,0.0,0.0,0.0,4.5753045,0.0,4.5456257,0.0,0.0,0.66179264,0.0,0.8537325,0.0,0.0,5.0956473,3.3434482,0.0,0.0,3.6453526,0.0,0.22847895,0.0,0.0,0.0,0.0,6.4308476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423833,4.438119,0.0,6.84708,1.4662627,0.0,0.0,0.0,0.0,0.13075656,0.0,1.9869614,0.0,0.0,8.446774,0.0,6.65536,0.0,0.20565039,0.0,0.0,0.0,0.47990444,0.0,0.0,0.125638,5.020867,0.0,0.0,0.0,0.0,1.8652428,0.0,3.4780319,0.0,0.7638825,0.0,0.0,0.0,0.0,0.0,0.0,2.6860514,0.0,0.0,0.0,4.385604,4.3587494,5.3524904,1.8977993,0.0,0.0,0.0,7.1635976,3.7139618,1.7262816,0.0,0.0,0.27131793,0.0,0.0,1.3160583,2.4547389,3.5802717,0.0,0.0,1.5183946,0.0,0.0,0.7746527,0.0,0.0,0.0,0.0,1.0986365,0.14662674,0.0,0.0,0.85372597,0.7977638,0.0,2.8135238,0.0,4.7744904,0.0,2.5221202,0.0,4.9246554,0.0,1.7951798,0.0,0.8622629,0.19411503,7.098389,0.0,0.0,0.0,0.0,5.945725,0.86886007,7.1741652,0.0,0.0,0.0,2.7343154,0.0,0.0,0.0,0.0,0.941165,3.230371,0.0,3.410986,0.949339,1.1044248,0.0,0.0,2.977444,2.55955,9.176351,1.519027,1.6532372,0.9340388,1.3090873,2.6751785,0.0,0.0,1.0367702,1.045527,0.0,0.0,0.1543437,0.0,2.7900507,0.0,1.1792117,0.23949467,3.2466915,0.34266004,1.3567638,0.0,0.0,0.0,3.3152497,0.0,0.0,2.2617912,0.99100226,8.042009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6894622,3.5790446,0.26081812,0.0,3.1868608,0.9385079,SIDM01044
ACH-000176,7.361752,0.71472394,3.704599,0.0,3.2834742,4.789253,0.0,2.5066738,0.6993768,0.0,1.8412772,0.0,0.0,0.0,0.0,0.8206101,10.010622,0.0,4.9272227,1.9878414,1.648859,6.3729405,1.492634,8.010679,0.0,0.0,5.300026,0.0,0.0,5.5394487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0301266,0.0,2.375274,0.0,3.0063443,0.0,0.0,0.0,2.084148,0.0,0.0,0.0,0.0,4.8963923,0.0,0.0,0.0,0.031040484,0.0,3.2826366,3.8553076,0.0,0.0,0.0,0.0,6.878223,0.0,0.0,0.0,2.168431,0.0,0.0,11.104476,0.0,1.9205844,0.0,0.0,0.0,0.0,0.0,2.1533504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.669148,2.4860065,1.9010122,1.5894079,1.2055666,0.0,0.0,0.0,0.0,2.2470293,0.0,0.0,0.0,0.0,8.469193,0.0,0.0,0.0,4.396975,0.14385298,0.0,0.0,3.360884,4.897718,0.0,3.6460521,3.8691788,3.693581,0.0,0.0,0.0,0.0,0.36582136,5.072444,0.0,0.0,0.0,0.0,0.0,0.0,4.035087,6.253808,1.4925079,0.0,0.0,4.187842,0.0,5.9987035,6.7372475,4.0591497,0.6504487,2.1982567,0.0,0.0,0.0,5.575609,10.275819,1.4365298,0.0,0.0,0.24531743,0.75669175,1.6186069,3.10481,0.0,0.0,3.9264643,0.0,0.0,9.875761,0.0,0.0,0.0,0.0,4.312741,2.660132,0.0,0.0,3.379767,0.08034027,5.209391,0.0,0.0,0.0,0.0,0.0,0.0,2.430308,0.0,2.6022503,0.0,0.0,0.0,0.0,0.9190025,0.0,0.0,0.0,0.0,10.438467,0.6149864,0.0,8.862408,0.0,0.5951543,0.0,0.0,0.0,0.0,4.3131094,0.0,0.0,0.88910913,3.7671063,0.0,0.0,1.0562575,6.2599306,0.0,0.0,2.9482193,6.769025,0.0,0.0,0.0,0.0,0.0,1.7993085,1.803188,11.514103,4.2945037,5.917694,0.0,0.0,0.0,0.0,0.0,0.016936608,6.980473,0.30989078,0.0,2.508974,0.0,0.84714985,0.0,2.1473494,0.0,0.071474686,4.824019,0.0,0.0,0.0,2.9657006,0.0,0.0,0.0,0.0,1.2724129,8.481025,0.0,0.0,0.0,0.7592411,SIDM00341
ACH-000587,1.3813787,0.10478575,3.4125462,0.0,1.7579017,1.5972795,1.6929893,2.6786463,6.008335,0.0,1.1068416,5.7574587,0.0,0.0,0.38595432,3.8493152,3.0740037,0.47174463,0.0,0.0,2.0941975,0.9417715,8.704117,4.5180054,2.1124766,0.0,0.0,0.0,0.0,0.22391345,0.0,0.70937747,0.0,0.0,0.06629536,0.0,0.0,0.0,0.0,0.0,1.9589411,4.4129696,0.21025833,1.0160377,0.5609117,0.0,1.12138,0.0,0.75423795,0.0,1.5048337,0.0,0.0,0.0,5.5300517,0.0,0.42306972,0.0,0.0,0.0,2.4116824,1.5551318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.100802,0.0,5.139895,2.4195726,0.0,0.0,0.0,1.3143524,0.0,0.0,0.0,0.5378079,0.0,0.0,0.0,0.0,2.8577535,1.8785485,0.0,0.0,0.0,0.0,0.0,2.935791,2.0945709,3.799097,0.0,0.0,0.5331501,0.0,0.0,0.0,3.6300235,0.0,0.0,0.0,2.8280225,7.29425,0.0,2.880421,0.0,2.164317,0.0,0.0,0.008133708,4.1599293,2.2933524,0.0,0.66562575,2.2959867,0.0,0.0,0.0,0.080333956,2.5172517,5.508127,0.0,0.0,0.0,0.0,0.0,0.0,0.70290387,2.6586564,2.4043238,0.1790874,0.0,0.0,2.4140415,0.4705054,1.0784115,0.9370486,0.0,0.0,6.138568,0.0,0.0,0.0,4.567522,0.0,0.0,4.284624,0.0,0.0,0.0,0.0,5.0169725,0.0,0.0,8.72226,0.0,0.0,2.8612895,0.0,0.7182902,4.05316,0.0,0.0,5.7471557,0.0,4.1510887,0.0,3.5637012,4.1647882,0.6009023,0.0,0.0994681,0.0,0.0,0.0,1.9923397,0.0,0.07581569,0.0,0.543491,0.0,0.0,5.071152,4.966236,0.2300758,0.0,4.6572776,1.2270399,2.239204,0.0,5.5748663,0.0,1.3557986,2.8396058,0.6640005,0.0,0.0,1.7048595,0.0,0.39531693,0.0,0.0,0.0,0.0,1.1260102,5.009036,0.0,3.4895227,1.4424837,6.602453,0.0,0.0,0.0,0.0,2.66793,7.4660974,0.0,0.0,1.3994387,6.6619596,0.0,0.0,0.0,0.0,0.0,1.1425898,0.0,0.62522525,0.0,0.0,0.0,1.3214465,0.0,0.0,0.0,0.0,3.8202455,0.0,0.0,0.0,4.960412,0.0,0.0,1.8148727,0.26060155,0.0,5.8091125,0.12417085,0.62171054,0.0,2.9523053,SIDM00759
ACH-000627,4.6409607,3.1514952,2.0038664,0.0,4.941622,2.3081326,0.0,3.3394237,4.04583,0.0,2.253754,0.0,0.0,0.0,0.0,2.139274,8.057278,0.0,6.042106,2.4994504,0.0,4.4196787,2.4453685,5.3335404,0.0,0.0,3.686909,0.0,0.0,5.5837626,0.0,0.3309217,0.0,0.0,1.5288296,0.0,0.0,0.0,0.0,0.0,0.7767565,4.025265,0.0,3.7946913,0.0,1.3744515,0.0,0.0,0.0,1.2101821,0.0,0.0,0.0,0.0,4.4472165,0.0,0.0,0.0,0.0,0.14525911,1.2240787,0.837566,0.0,0.0,0.0,0.0,5.007106,0.0,0.0,0.0,1.167536,0.0,0.0,6.552158,0.0,2.6709514,0.0,2.0018792,0.4291802,0.0,0.0,3.4396365,0.0,0.0,2.4737098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3682938,1.6021626,2.6776628,1.873708,2.1806815,0.0,0.0,0.0,0.0,4.038084,0.0,0.0,0.0,2.2467291,3.076124,0.0,0.0,0.0,1.9456758,0.3625758,0.0,0.0,0.0,8.036066,0.0,0.86367023,0.25890583,3.954043,0.0,0.0,0.0,0.0,3.007165,1.5107596,0.0,0.0,0.0,0.0,0.0,0.0,4.399243,2.6312654,3.800899,0.0,0.0,3.3983073,0.0,6.1522355,4.2775555,2.1900048,1.3404542,6.445496,0.0,0.0,0.0,3.972815,10.044239,3.3201218,0.0,0.0,0.90912855,0.6764514,0.84121484,0.31920567,0.0,0.0,4.0745726,0.0,0.0,8.159947,0.0,0.0,0.0,0.0,4.1890736,3.218888,0.0,0.0,1.1521091,0.0,3.184235,2.3027337,0.0,0.0,0.0,0.0,0.0,2.4395576,0.0,0.0,0.30344245,0.0,0.0,0.0,1.9003611,0.9827423,0.0,0.0,0.0,10.369589,0.0,0.0,4.457802,0.0,0.0,0.0,3.9971428,0.0,0.0,5.376231,0.0,0.0,0.47116968,3.7548335,0.0,0.0,5.899373,2.405126,0.0,0.0,0.0,3.6805975,0.0,0.0,0.58257914,0.0,0.0,0.0,0.0,8.772974,4.849519,6.4165974,0.0,0.0,0.0,0.0,0.0,0.59711003,9.224484,1.7123904,0.0,1.3793741,0.0,0.75640714,0.0,4.0971923,0.0,0.0,1.20531,0.0,0.0,0.0,2.8766918,0.0,0.0,0.0,0.21171603,0.0,8.587796,0.0,0.0,0.0,1.1103625,SIDM00345
ACH-000392,0.0,0.0,2.740909,0.0,1.5712316,0.0,3.8740704,1.5704645,0.0,7.8529353,0.0,0.0,0.0,0.0,11.463947,0.1023488,0.0,0.0,0.0,0.0,0.0,0.0,2.0899634,0.96212536,0.0,0.0,1.5223788,0.0,0.873494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63214844,0.0,1.8213335,4.9142895,0.0,0.54221034,4.6187854,1.6305712,3.7852724,0.0,0.0,0.0,0.28839323,0.0,0.0,0.0,0.0,0.0,3.934931,5.4740453,0.0,0.0,4.6992807,0.0,1.3273451,4.507905,0.0,0.0,0.0,0.0,6.2575593,0.0,0.0,5.875851,0.0,0.0,5.5308456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87226766,0.0,0.0,7.8230057,0.0,3.700463,9.838423,0.7287675,5.794561,13.654449,0.0,0.0,0.0,0.0,7.1117673,5.206458,6.289958,0.0,0.0,9.160479,0.0,0.0,2.4151814,0.0,0.0,1.3798964,0.0,0.0,0.0,1.401453,0.0,0.0,9.30725,0.0,0.0,3.4345315,2.912904,4.102148,0.0,0.0,0.0,1.1401615,2.812412,0.0,0.4499925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9104586,0.0,0.0,0.0,0.0,1.2077136,0.6604198,0.0,0.0,0.0,0.0,0.0,0.0,2.0641198,2.1548316,0.0,0.0,0.0,1.4124823,0.0,0.0,4.2794065,0.0,0.0,1.9973373,0.0,0.0,0.0,11.027334,0.0,1.5600978,0.0,0.9485498,0.0,0.0,0.0,0.0,0.2744025,2.49754,4.0687017,0.0,0.0,0.27237615,0.0,0.0,0.0,0.0,0.0,0.0,1.5733206,0.0,0.0,0.0,0.0,0.0,4.1851068,0.0,0.95564806,0.0,0.0,5.1627254,2.730127,0.0,2.5173926,0.0,7.696068,1.4558452,0.0,0.0,0.0,1.5622203,0.0,0.0,0.0,5.240855,0.0,0.0,0.0,2.8086839,0.0,0.0,0.0,3.4421358,1.3878912,8.248425,0.0,0.0,0.0,0.0,4.5901895,1.5883359,0.0,0.7881196,0.0,2.6756022,1.3889751,2.6429381,0.0,0.0,0.0,0.0,0.0,1.2505442,0.0,0.0,0.0,0.0,0.0,1.4214094,SIDM00922
ACH-000035,4.145564,0.0,0.0,0.3605796,0.0,7.0976963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478475,0.0,3.3748438,0.0,0.0,0.0,5.8816934,0.0,6.233108,8.340147,0.0,1.3631555,0.0,0.0,1.360041,3.8991992,0.0,7.3436904,2.8934672,0.0,0.0,0.0,0.8189902,0.84319466,0.0,0.0,2.1904414,2.490042,0.0,0.0,3.0141675,0.6374196,4.411436,0.0,0.0,0.0,2.3714502,4.5256124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5223749,7.524798,0.0,0.0,0.0,0.0,0.0,3.5090373,0.0,0.0,0.0,0.35375315,0.0,2.6982448,0.0,0.0,1.3833191,0.41643685,3.0635202,2.1854963,0.89544,0.0,0.0,0.0,0.20188028,0.32740894,0.0,6.8545976,0.0,8.94631,0.0,2.22491,0.0,0.0,2.998583,0.20271671,0.0,0.0,0.0,4.184483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.520616,3.021869,0.0,0.0,1.2860217,0.34113178,5.525874,0.0,5.4238753,0.0,3.0704687,2.095314,5.164311,2.0326805,0.0,0.0,0.0,4.450166,0.0,7.7476215,0.0,0.0,0.0,0.0,0.46784228,5.532896,1.3092371,2.5911458,0.0,0.0,0.0,3.473338,0.0,0.369538,11.181303,4.3876166,0.0,0.0,0.0,8.432519,0.0,2.9387488,0.0,0.0,4.712508,0.0,0.0,0.0,1.1769208,5.1667194,0.0,0.6440309,2.5215108,0.0041590086,0.0,0.45438775,0.0,3.3642952,0.0,0.0,0.0,0.0,0.0,5.0940604,0.0,7.1209836,0.0,0.0,0.0,0.25797606,0.0,5.473422,0.0,5.8646884,0.0,7.494622,0.0,0.0,0.0,1.2759796,3.9295058,0.0,0.0,0.0,5.410293,0.0,4.4209676,0.42054263,4.2148185,0.0,2.8355446,4.1885033,0.0,8.734467,2.1017032,0.0,0.0,2.3446033,2.1248431,0.0,0.0,0.0,0.0,3.1223621,0.0,0.0,0.0,4.212118,2.0765183,8.980332,1.5498435,0.0,0.0,4.0932856,0.0,1.6964514,0.0,0.0,0.0,0.0,0.0,0.0,0.83222145,1.0765415,0.0,1.6123581,2.2140355,0.0,0.0,0.0,6.2624025,0.0,0.0,1.9762197,4.5892215,0.0,0.0,5.102962,0.0,0.0,0.0,0.0,0.0,5.1285152,2.7231052,1.5448382,4.745069,4.822976,0.0,SIDM00745
ACH-000894,0.0,0.0,4.04063,0.0,0.0,0.0,3.968105,3.7678766,0.0,10.981726,0.0,4.035816,0.0,0.0,15.983469,4.3707128,0.9662226,5.9018755,0.0,0.0,0.0,1.2062446,8.933505,5.6747236,0.0,0.0,1.0651782,0.0,0.6989129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3424902,0.0,0.0,0.0,8.0969515,13.427914,0.0,4.2106857,11.64719,8.335999,6.0029526,0.0,0.0,0.0,6.2155986,0.0,0.0,0.0,6.2819476,0.0,9.088235,0.0,0.8701567,0.0,16.032793,3.299196,0.38814384,0.0,2.5228822,0.0,0.5640567,0.0,0.0,0.0,4.819828,0.33086622,0.0,0.0,2.3595757,0.0,0.0,0.0,0.0,0.91731596,0.0,1.7983978,0.0,3.6984034,0.22921711,0.0,0.0,0.0,0.0,0.0,1.3428309,0.0,0.0,2.0354958,0.0,7.0716367,0.0,0.0,7.8237724,0.21354717,3.7025843,4.7691097,2.8082223,1.9062057,18.598463,0.0,0.0,0.0,0.0,0.0,7.8776207,4.3120174,0.0,0.0,10.429698,1.0014541,0.0,6.8503923,0.0,0.32423168,3.9237797,0.0,0.0,0.0,4.936061,0.0,0.0,1.3560109,0.0,0.0,8.40573,2.9057972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.609345,0.10633613,0.0,0.0,0.0,11.627441,0.0,0.0,8.44731,0.0,0.0,1.2324753,1.5766138,6.9274487,0.0,12.281975,0.0,2.2583222,0.0,3.8780987,0.0,0.0,0.0,0.0,0.60961187,0.0,0.49042633,0.7233319,0.0,0.0,0.0,2.254116,0.0,0.0,0.0,0.0,1.0035057,6.4830256,0.0,0.0,0.0,0.0,1.4011313,3.0190074,1.5668442,0.0,0.0,5.9054704,5.9092817,0.0,8.992892,0.0,6.307626,5.982326,2.7849534,0.0,0.47167256,3.846957,0.0,0.12760141,0.0,4.5793014,0.0,0.0,0.30032894,5.001426,0.0,0.0,0.0,2.1222048,2.6334016,4.914053,0.4113249,0.0,0.0,0.0,5.0113583,3.56107,0.0,0.0,0.0,5.7381716,0.0,0.4780571,0.0,1.0326542,0.0,0.0,0.0,4.146157,0.0,0.0,0.0,3.5042899,0.0,5.8298345,SIDM00768
ACH-000638,0.0,4.576485,0.0,0.0,0.0,0.0,5.9306364,0.0,0.0,0.0,0.0,3.0433676,0.0,0.0,0.0,5.914103,0.20276617,0.0,0.0,0.0,0.0,4.8680043,14.330686,2.775808,0.0,0.0,0.0,0.0,0.0,0.0,5.7487974,3.100285,0.0,0.0,1.7336578,0.0,0.0,0.0,0.0,2.3542817,6.9330916,0.0,0.52112794,0.0,7.712464,3.4970367,0.0,0.48488745,5.723911,0.0,2.6283011,0.0,1.9409977,0.0,0.0,0.0,0.0,0.0,1.3348432,0.0,10.242344,5.2837076,0.79618406,0.0,0.0,0.0,0.0,0.0,0.0,0.62751645,5.674881,0.0,0.0,0.0,0.010188531,0.0,0.0,0.0,3.0471647,4.022207,9.893895,1.759056,0.0,0.0,0.0,5.4171295,0.0,7.362756,4.695141,0.0,0.0,0.0,0.0,0.6042122,0.0,6.214288,0.0,1.9139383,0.0017900645,6.8686213,0.0,0.22970314,1.1512547,0.0,0.0,0.0,0.2555655,0.0,1.6705039,0.0,1.5954217,0.96980923,0.0,0.0,0.69378936,2.3885157,0.0,0.82069767,0.0,0.0,2.922345,0.0,0.0,0.0,0.0,3.7987144,0.0,0.10471641,0.0,0.0,2.7687194,0.0,0.0,0.0,0.0,0.0,0.0,1.7624065,0.650649,1.3690029,1.7585384,0.0,0.0,0.0,0.18818057,0.56147635,0.0,0.0,0.0,0.0,0.0,0.0,0.121242814,1.7562311,3.3902009,0.0,0.0,7.7413254,4.492587,14.520662,11.471343,0.0,0.0,0.0,0.0,6.0864873,0.0,0.0,2.2667158,0.76401216,0.0,2.4704442,0.0,5.181511,0.0,5.5349054,0.0,5.9448457,0.0,1.2099026,2.6419036,0.048798352,0.0,0.0,7.3285303,0.0,0.57807523,7.3206987,8.566076,0.68104,2.4741838,0.19118536,0.0,0.0,7.010246,0.7634522,3.5855212,0.0,0.0,0.0,5.7745233,0.052817278,0.447953,12.856189,0.0,0.0,0.0,8.914622,0.0,0.0,1.654838,0.0,4.732076,0.0,0.0,0.0,1.3513106,0.0,1.2273207,0.0,0.0,0.0,0.0,0.0,11.021676,3.9313946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2072742,0.0,4.170976,0.0,6.0271945,0.0,0.553854,2.0958235,6.129437,0.58360165,2.88287,0.0,0.0,0.0,4.693657,0.1663196,1.0996083,0.0,7.823703,0.0,0.29100183,SIDM00925
