ModelID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
ACH-000769,0.0,0.6282761,0.0,0.0,0.0,0.0,0.13419983,0.0,0.0,2.6951075,0.0,0.28867134,0.46901405,0.0,0.0,0.020050429,0.13457187,0.0,0.4924486,1.7495282,0.0,0.0,0.8217575,0.0,0.03340949,0.0,1.2726007,0.0,1.301557,0.18556389,0.0,0.0,0.0,0.0,0.0,0.36940446,1.5994592,1.3247197,0.69601583,0.0,1.3471402,0.3431811,0.0,0.0,0.0,0.0,0.0,0.06226645,0.0,0.6456674,0.0,0.0,0.0,1.0470133,0.0,0.0,1.1977181,0.0,0.0,0.0,0.0,1.3515879,1.5667483,0.0,0.0,0.0,0.0,0.0,0.0,0.46905538,0.0,0.0,0.0,0.1848809,0.41578504,0.2559507,0.0,0.0,0.0,0.36780545,0.2986056,0.0,0.44406387,1.5287292,0.0,0.0,0.0,0.76229066,0.73448324,1.8638613,0.0,0.0,1.1999112,0.0,0.0,0.0,0.0,0.0,0.66086876,0.0,0.0,0.0,0.97078055,0.10625189,0.8614455,0.88231474,0.0,1.4639125,0.0,0.0,0.6073909,0.0,0.8607002,0.0,0.092785604,0.0,1.1097817,0.0,1.1934745,0.0,0.9236952,0.0,0.0,0.08747728,0.57194805,1.848259,0.0,0.38250023,0.9678602,0.052092258,0.054693207,0.67653155,0.13771039,0.0,0.0,0.08979093,0.0,0.0,0.070816346,0.36475536,0.0912993,0.0,0.0,0.0,0.442945,0.0,0.0,0.0,2.1359663,0.33660072,0.0,0.25263447,0.0,0.0,0.0,0.0,1.2158571,0.8697233,0.0,1.1749775,0.25090817,0.0,0.2791035,0.3862613,0.23521157,0.0,0.0,0.8111665,0.80176276,0.0,0.16995247,0.0,0.0,0.0,1.0104553,0.0,0.0,0.0,0.7276926,0.0,0.0,0.9301106,1.0609179,0.0,0.40994504,1.3299264,0.11492167,0.0,0.29104766,0.14728363,0.13023786,0.07131904,0.1291322,0.42108333,0.0,0.42533258,0.0,0.0,1.1856786,0.0,0.0,0.0,0.0,0.7484661,1.2015156,2.1425676,0.47755063,0.7096171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4719961,0.45976686,0.0,1.3130592,0.0,1.2862577,0.0,0.63263965,0.056369428,0.8200396,0.497618,0.91869515,0.7889213,1.3608677,0.115887344,0.0,1.5539894,0.5582714,0.0,0.6184475,0.0,0.34847352,0.6664055,0.0,0.4049985,0.0,0.0,2.7272856,0.49289662,0.0,0.0,0.97079694,0.0,1.7714069,2.2121494,0.0,0.0,0.0,0.4697266
ACH-000528,0.47203496,0.34565672,1.7711403,0.0,0.0,0.0,0.7269804,0.0,1.2363666,0.46480188,0.0,0.29796135,0.3567226,0.0,0.0,0.0,0.0,0.0,1.1739897,0.65665555,0.38492575,0.5294486,1.8863611,0.0,0.0,0.32249045,0.31928647,0.0,0.01735572,0.4049081,0.0,0.32920283,0.0,0.0,0.21289591,0.0,1.641312,0.76779246,0.027039783,0.36878198,0.0,2.4485118,0.0,0.0,0.070223056,0.68504506,0.7431475,0.077358715,0.0,0.0,0.0,0.0,1.0262325,0.15847659,0.0,0.5413228,0.0,0.0,0.0,0.0,0.0,1.9554598,0.0,1.7577308,0.0,0.0,0.0064559793,0.0,0.0,1.379303,0.45701444,0.0,0.0,0.8650771,0.0,0.0,0.0,1.0237349,0.66397226,0.8264144,1.6336255,0.17488421,0.45910868,1.4414684,0.0,0.0,0.0,1.529269,0.23253189,0.0005423302,0.0,0.10784431,0.15710784,0.0,0.0,0.101424515,0.25646847,0.0,0.0,0.43191564,0.922901,0.0,0.76075655,2.0369024,0.6496703,1.4189914,0.0,1.4338338,0.0,0.0,0.8893254,0.21774116,0.0,0.86369896,1.0374776,0.3465876,0.88397217,0.4328794,0.0,0.0,0.51486945,0.0,0.6117273,0.11212771,0.0,0.0,0.20862348,0.3076781,0.062430397,0.1363774,1.4277992,0.0,0.0,0.0,0.0,0.0,0.9783348,0.0,0.0,1.265523,0.0,0.0,0.0,0.0,1.1578933,0.0,0.0,0.43379015,0.0,0.0061244676,0.0,0.0,0.0,0.0,0.0,0.24044435,1.5043715,0.0,0.0,1.2349092,0.37715337,0.0,0.014422213,0.018946901,0.28216177,0.0,0.0,1.4493171,0.20307557,0.0,0.43971127,0.0,0.0,0.15445688,0.8454464,0.0,1.5978723,0.22546282,0.81754184,0.0,0.0,0.0,0.03261785,0.0,1.36489,1.4153508,1.3428752,0.07813943,0.20702805,0.0,0.0,0.32841757,0.0,2.5510027,0.0,1.6647487,0.0,0.0,0.0,0.0,0.0,0.24528052,0.0,0.0,0.071688764,2.498906,0.0,0.67978853,0.0,0.39923644,0.0,1.0130013,0.0,0.0,0.0,0.0,0.9006093,0.87782097,0.0,0.5778908,0.72400606,0.0,0.60248077,0.0,0.0,0.0,1.0517279,0.0,0.0,1.585452,0.0,0.39735475,0.0,0.52840316,0.70422024,0.0,0.5214551,0.0,0.0,1.2368014,0.037411764,1.1933604,0.527362,0.0,1.0188307,0.0,0.0,0.0,1.6173372,0.20657222,0.0,0.8177566,0.0,0.0,0.8443699,0.55650926
ACH-000585,0.0,0.0,1.9510534,0.0,0.0,0.0,0.0,0.0,1.2799696,0.632516,0.0,1.0374342,0.35741344,0.29570666,0.0,0.68875283,0.48987296,0.0,0.0,1.3934731,0.0,0.8842828,0.37863716,0.0,0.12750755,0.051928665,0.0,0.0,0.09062175,0.0,0.0,0.22918133,0.0,0.0,0.033383053,0.0,0.9733878,0.6471842,0.0,1.2498242,0.61147267,0.8813163,0.0,0.8388503,0.0,0.0,0.8131662,0.0,0.0,0.0,0.0,0.48020023,0.5251621,0.0,0.0,1.349174,0.0,0.0,0.0,0.0,0.0,1.6277032,1.043288,0.6962388,0.0,0.0,0.24662577,0.0,0.0,0.0,0.1275099,0.0,0.0,1.6298336,0.0,0.0,0.30660406,0.6830201,0.0,0.6015933,0.53809977,0.0,0.0,1.2777039,0.0,0.0,0.0,0.0,0.50115216,0.70349175,0.09759547,0.12755586,0.72225153,0.0,0.06844899,0.50463504,0.0,0.0,0.051088184,0.0,0.0,0.0,0.457142,0.68609095,0.3804452,1.2209148,0.0,1.8324506,0.0,0.11588599,0.11895551,0.0,0.0,1.540369,0.4359777,0.050994996,0.9719048,0.0,1.0738659,0.0,0.58633167,0.0,0.0,0.0,0.31631377,0.0,0.48175862,0.0,1.1106328,0.0,0.0,0.0,0.8104721,0.0,0.0,0.4225624,0.0,0.0,0.0,1.2050383,0.8631917,0.0,0.0,0.0,1.5816798,0.0,0.66988987,0.47734046,0.39552724,0.51194566,0.0,0.0,0.0,0.0,0.0,0.4763198,0.83047354,0.85404557,0.0,0.48719773,0.0,0.08217018,1.6829505,0.09691407,0.0,0.19482175,0.06576387,0.50499165,0.086985424,0.0,0.6358955,0.0,0.0,0.0,0.6281078,0.23869628,1.2315748,0.0,0.23230875,0.0,0.0,0.0,0.72484285,0.0,0.39139655,0.59038305,0.3135622,0.0,0.0,0.0,1.3835036,0.30191344,0.06519374,0.0,0.20393072,0.0,0.0,0.0,0.0,1.0252203,0.7990779,0.7533872,0.0,0.088995054,0.43885234,1.0995555,0.114342414,0.17437112,0.0,0.0,1.3700905,0.2940512,0.0,0.0,1.0520114,1.3131505,0.14961207,0.76089305,0.020795982,0.7783621,0.0,0.0,0.0,0.0,1.0137872,0.0,1.381189,0.062258903,0.80119073,1.1040373,0.15510401,0.09434468,0.0,0.67811465,1.5754515,0.0,0.0,0.2592922,1.0156927,1.8246565,0.0,0.0,0.3618376,0.86929464,0.48095044,0.0,0.0,0.0,2.068223,0.0,0.0,1.1563947,0.0,0.0,1.192438,1.1011229
ACH-000176,0.0,0.46769115,0.017019914,0.0,0.0,0.0,1.0240682,0.066668846,1.5787609,0.0,0.0,3.117545,0.0,0.25003296,0.28200462,0.0,1.1195433,0.0,0.60214263,1.9397813,0.0,0.16282512,1.4683529,0.0,0.0,0.0,0.037493624,0.92735046,1.6076616,0.56430405,1.8937167,0.07568727,0.0,0.0,0.0,0.1509814,0.0,1.3610337,0.42202535,0.0,0.0,0.0,0.0,0.21589682,0.16431956,0.0,0.33168098,0.79402786,0.0,0.22141469,0.0,0.2924633,0.72340554,0.0,0.0,0.79421675,0.0,0.49707466,0.0,0.0,0.0,0.58969355,0.94219035,0.0,0.0,0.07819161,0.0,0.0,0.0,0.6405487,0.0,0.0,0.0,1.7536066,0.0,0.0,0.0,0.72175515,0.0,0.92873627,0.522602,0.51837605,0.0,1.7749296,1.33848,0.0,0.0,0.0,1.1016958,0.4931271,0.5842349,1.3055456,0.0,0.0,0.44146693,0.0,0.0,0.0,0.8696333,0.0,0.0,0.0,1.6176363,1.6287322,1.3403419,0.36207822,0.0,2.0238626,0.0,0.0,1.5186388,0.0,0.25305885,0.32373407,0.18307953,0.54935193,0.571112,0.17098178,1.1687766,0.0,1.2943679,0.0,0.0,0.0,0.21988602,1.8805095,0.0,0.0,3.2400758,1.1835122,0.0,1.1515673,0.0,0.9368745,0.0,0.9216769,0.36385816,0.028364643,0.0,1.450227,0.27989042,0.0,0.0,0.0,0.00067814626,0.0,0.0,0.55965513,0.41952437,0.0,0.0,0.0,0.0,0.0,0.0,0.8716278,0.0,0.40260807,1.1146616,0.84102994,0.0,1.8120943,0.44247797,0.16014569,0.0,0.81304526,0.0,1.1192421,0.9745804,0.35149267,0.0,1.186825,0.13079107,0.0,0.34578508,0.09488741,1.0335689,0.4282265,0.20779699,0.0,0.0,0.0,0.80106485,0.0,0.0,0.56251836,0.42500377,0.006598733,0.7480826,0.0,0.0,1.6553376,0.0,0.0,0.03535612,0.0,0.6642231,0.0,1.2899945,0.0,0.6364424,0.039067198,0.0,0.0,0.47983757,1.5807143,0.0,0.0,0.0,0.0,0.7253475,0.3659201,0.0,0.13898009,0.0,1.5622779,0.8339983,2.4157388,0.53545964,0.0,0.4886464,0.0,0.0,0.0,0.23357992,0.0,1.060289,0.0,1.7936252,1.9600886,2.6987352,0.0,0.0,1.019056,1.9300789,0.0,0.28843665,0.27800167,0.0,0.0,0.0,0.0,0.0,0.0,1.3993582,0.0,0.06219896,0.0,0.16986893,0.0,0.0,0.13140889,0.0,0.0,1.521982,0.9478201
ACH-000587,0.0,0.08921734,0.5994359,0.0,0.0,0.0,0.0,0.0,0.43544126,0.45950815,0.0,1.0455866,0.0,0.0,0.16797522,0.0,0.48000416,0.0,0.0,0.6170577,0.0,0.178465,1.0139574,0.0,0.0,0.0,0.09859865,0.48820677,0.6190761,0.72004575,0.595784,0.0,0.0,0.0,0.0,0.0,0.1086569,0.6923274,0.0,0.0,0.1786106,0.16373648,0.0,0.0,0.0,0.0,0.0,0.0,0.7569569,0.06159902,0.0,0.07601783,0.53179866,0.0,0.0,0.0,0.14697008,0.07952923,0.0,0.0,0.0,0.7416349,0.71606886,0.61550915,0.0,0.23934662,0.0,0.0,0.2854969,0.056912918,0.5328472,0.0,0.0,0.7442192,0.0,0.0,0.20504108,0.0,0.2317287,0.64603305,0.0,0.5204543,0.0,0.5401975,0.0,0.0,0.0,0.0,1.2901236,0.51592547,0.28390813,0.7701833,0.49907705,0.0,0.0,0.0,0.0,0.0,0.42961174,0.0,0.0,0.0,0.0,0.030527778,0.41874847,0.25768262,0.0,1.6402423,0.0,0.68065125,0.0,0.0,0.0,0.0,0.0,0.56753016,1.483963,0.45844215,1.2121342,0.0,0.74146724,0.0,0.0,0.29484203,0.0,0.2889306,0.0,0.14174595,1.1816428,0.2045627,0.1729783,0.0,0.285238,0.0,0.0,0.3472042,0.051275812,0.0,0.0,0.25401947,0.0,0.0,0.0,0.0,0.7565603,0.0,0.0,0.0,0.79130536,0.8656436,0.0,0.0,0.0,0.0,0.0,1.0793183,0.0,0.33985934,0.29734156,0.0,0.0,0.17435429,0.98370284,0.0,0.0,0.0,0.024586368,0.59949607,0.17966475,0.0,0.6228788,0.0,0.0,0.46291548,0.15616587,0.0,0.36742857,0.0,0.38121125,0.0,0.0,0.0,0.43924284,0.0,0.7576007,0.85441303,0.9665538,0.44277215,0.33155447,0.0,0.0,1.1774926,0.0,0.0060843304,0.023964854,0.0,0.41871402,0.14207518,0.0,0.0,0.0,0.176171,0.0,0.0,0.49893537,0.8055522,0.0,0.14265743,0.26351488,0.27257633,0.429942,0.3158687,0.0,0.111866124,0.0,0.96657556,0.8941878,1.0038848,0.46444947,0.0,0.5588478,0.0,0.0,0.09117938,0.8287971,0.0,0.85360426,0.0,0.8286587,0.7203575,1.1158884,0.0,0.0,0.0,1.4165455,0.0,0.62421644,0.041079815,0.18117118,0.0,0.0,0.05528207,0.12869774,0.08076001,2.0101168,0.0,0.0,0.0,1.1166147,0.0,0.0,0.86067253,0.0,0.0,0.35862902,0.5793335
ACH-000627,0.0,0.15123789,0.9911781,0.0,0.0,0.0,0.0,0.0,1.3758045,0.77248955,0.0,2.5804455,0.8295829,0.43021828,0.96777976,1.0134652,1.4609742,0.0,1.8196293,2.3721316,0.0,0.3964068,0.5018052,0.0,0.0,0.0,0.23148344,0.0,1.5603791,0.34485057,1.0109155,0.0,0.0,0.0,0.0,0.35271633,0.0,0.0,0.0,0.0,0.0,0.18923515,0.6296699,0.0,0.0,0.0,0.0,0.0,0.52995247,0.52204525,0.0,0.0,0.0,0.0,0.0,1.0055234,0.0,1.1308738,0.0,0.4333953,0.0,0.71442336,1.2370822,0.7393352,0.0,0.0,0.7869738,0.0,0.0,0.407535,0.12760398,0.0,0.0,0.7372265,0.17118262,0.12072075,0.19411385,0.89922714,0.51761013,1.272069,0.40590563,0.9363966,0.0,0.8926103,0.11958481,0.32988426,0.0,0.0,2.3390262,1.8706448,1.3468941,0.18690012,0.0,0.015691984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42324656,2.0646489,0.9127012,0.0,0.0,1.9396805,0.0,0.7415041,0.7243136,0.0,0.0,0.0005030327,0.25767875,0.6199176,1.8632506,0.32436514,1.9243737,0.0,1.7407658,0.0,0.0,1.1176202,0.26231256,1.8030725,0.19097315,0.0,2.11773,0.8359193,0.0,0.0,0.5579527,1.0981808,0.0,1.1428671,0.0,0.4187866,0.0,0.93087023,0.1716692,0.0,0.0,0.0,0.0,0.0,0.2684457,0.15282159,1.2253836,0.0,0.0,0.0,0.0,0.0,0.07894485,0.9891554,0.8888247,0.753632,0.99177104,0.3223344,0.0,0.4037133,0.019597922,0.0,0.67818046,0.33667213,0.0,1.1545163,0.49830946,0.0,0.9219786,0.0,0.0,0.0,1.0658975,0.0,0.0,0.66202515,1.2199625,0.0,0.0,0.0,1.3504875,0.0,0.3213296,0.4261089,0.44765472,0.7861898,0.7503911,0.0,0.0,0.76331115,0.0,0.0,0.0,0.0,1.825818,0.0,0.35851178,0.0,0.0,0.0,0.0,0.0,0.049535673,0.47948933,0.40719083,0.18576969,0.0,0.0,0.6146187,0.5773823,0.0,0.0,0.0,1.0019729,1.319466,2.7935736,1.6886219,0.0,0.98463255,0.0,0.0,0.29246235,0.11411518,0.0,0.3038774,0.7249532,1.2707813,2.496789,0.93707395,0.0,0.0,0.1522245,0.9214381,0.0,0.41290066,0.6936562,0.0,0.0,0.0,0.0,0.082249746,0.15298657,1.1284896,0.56604046,0.0,0.0,0.92129874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000392,0.0,0.63123363,0.9490593,0.0,0.0,0.0,0.23383602,0.28121412,0.0,2.3608,0.0,0.1870639,0.980656,0.0,0.0,0.0,0.6558005,0.0,0.0,2.1132042,0.33328924,0.0,1.8896478,0.0,0.0,0.48975614,1.3208504,0.0,0.0,0.0,0.0,0.0,0.0,0.7591244,0.0,0.0,1.9902815,0.0,0.0,2.2630353,1.4672574,0.36421382,0.0,0.5584099,0.0,0.08471037,0.0,0.95841414,0.0,0.4223758,0.50166255,0.040022787,1.2968578,1.1539863,0.81804556,0.0,1.0565826,0.0,0.0,0.0,0.0,2.8770294,2.5096169,1.8796215,0.0,0.0,0.0,0.0,0.0,1.4551004,0.0,0.0,0.42982244,0.587723,0.0,0.030448265,0.27689195,0.9716265,0.0,0.15393749,1.7694075,0.22569364,1.1940019,1.9084842,0.5810269,0.17622754,0.0,0.19416492,1.0197846,2.0007694,0.0,0.0,1.6390787,0.0,0.0,0.020912435,0.30947524,0.0,0.06983693,0.0,0.0,0.0,1.1724203,1.336733,0.0,1.8909988,0.0,2.2522738,0.0,0.2921557,0.044529658,0.0,1.7340598,2.269027,1.4589038,0.31037018,0.0,0.0,0.0,0.0,2.19098,0.0,0.19005997,0.23875402,0.0,1.372276,0.0,1.0561649,0.0,0.9981238,0.0,0.0,0.67688453,0.0,0.0,0.09282465,0.0,0.0,0.0,2.522972,1.4970448,0.1436331,0.0,0.0,2.09645,0.0,0.24635655,1.3701013,1.4122281,0.0,0.5199317,0.0,0.0,0.0,0.0,0.0,2.5405424,2.1158,0.0,0.2678384,0.0,0.0,1.3075225,0.0,0.0,0.19117457,0.05289148,2.5814595,0.46357843,0.0,0.7484803,0.0,0.0,0.0,2.295356,0.0,2.7831745,0.0,1.2788125,0.0,0.0,0.0,1.0614741,0.0,0.7701928,2.319213,0.0,0.0,0.0,0.17775618,0.56766516,0.0,0.0,2.1435637,0.0,0.0,0.054384347,0.0,0.4291887,0.0,0.0,0.0,0.0,1.0055639,1.1300944,2.8533087,1.3082905,0.87604636,0.0,0.3805793,0.6423337,0.6023964,0.0,0.0,0.494117,0.40040508,0.43731344,0.0,0.68367565,0.0,0.0,0.0,0.23865108,0.0,1.068107,0.5900464,1.7468739,0.16682193,0.0,0.93357646,1.6484927,0.0,0.0,1.1323197,2.1285963,0.0,0.0,0.5661562,0.44449294,3.4541774,0.0,0.0,0.26507688,0.9308736,1.7890233,0.0,0.0,0.0,0.82259357,0.0,0.0,1.3802923,0.0,0.0,0.0,1.3433284
ACH-000035,0.76085234,0.70487565,2.3956301,0.0,0.0,0.0,1.5211512,0.0,0.114479184,0.0,0.0,0.571322,0.0,0.5150159,0.2858726,0.0,1.2166185,0.0,0.18820855,3.0901554,0.0,0.29919013,1.936198,0.0,0.0,0.39158028,0.0,1.1938452,0.16732638,0.6958656,1.2229457,0.029309401,0.0,0.4705411,0.0,0.0,0.41039446,0.33245155,0.0,0.13745837,0.41887638,0.98855734,0.0,0.0,0.36277026,0.0,0.0,0.58783567,0.0,0.0,0.0,0.48979032,0.9599318,0.0,0.0,0.37186992,0.5117581,0.0,0.0,0.0,0.0,1.3450179,0.871832,0.0,0.69122773,0.0,0.8537405,0.0,0.0,1.6253989,1.1156172,0.0,0.0,0.5771455,0.11780096,0.13140804,0.2993772,0.12758791,1.1940926,0.0,0.9662639,0.0,0.0,2.7352924,0.0,0.0,0.0,0.0,1.014422,0.0,0.088917926,0.8884159,0.15641005,0.0,0.0,0.12806383,0.04994607,0.0,0.0,0.48007238,0.0,0.0,2.6204014,0.33658543,1.251856,0.22736154,0.0,3.0463135,0.0,0.17229049,0.04960541,0.0,0.0,0.3987275,1.9283146,0.0,2.2492166,0.3014237,1.4948145,0.0,1.3562671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7555147,0.9729354,0.0,0.0,0.5818428,0.0,0.0,0.0,0.29148132,0.0,0.0,2.1132746,0.0,0.0,0.0,0.0,2.2710156,0.0,0.3831673,0.50433236,1.7059419,1.2411293,0.0,0.0,0.0,0.0,0.0,0.51515317,0.07142515,0.62127006,0.72177243,0.8074984,0.0,1.0388058,0.4716381,0.53065264,0.38785955,0.06508058,0.0,0.42019603,0.0,0.0,0.0,0.0,0.0,0.0,0.9226495,0.0,1.3809111,0.12553528,0.9701521,0.24147798,0.68424684,0.0,1.3655558,0.0,0.592726,1.0687816,1.7554748,1.2569559,0.49373245,0.024650615,0.36985797,0.8116867,0.0,1.360634,0.0,0.0,0.78659016,0.0,0.0,0.0,0.4115001,0.2659844,0.032197803,0.0,0.079167165,2.782171,0.75010437,0.0,0.0,0.57697403,0.92849046,1.1901714,0.0,0.0,0.0,1.0054028,2.2220109,1.0708355,0.37331915,0.3160595,1.1930062,0.0,0.0,0.0,0.65979946,0.0,1.218436,0.0,1.2588333,1.6747462,2.2056906,1.358109,0.0,0.53395104,3.8877962,0.0,0.9878202,0.33674997,0.16377607,2.5244079,0.900437,0.0,0.0,1.4508709,0.43420818,0.0,0.0,0.0,2.994546,0.0,0.0,1.6586657,0.0,0.33846053,2.8092608,1.6902366
ACH-000894,1.0417491,0.0,0.07923049,0.0,0.0,0.0,0.6747633,0.57713366,0.2858876,1.7047795,0.0,0.8383794,0.5696406,0.0,0.501361,0.18894508,0.0,0.0,1.5809604,0.0,0.0,0.0,1.7337872,0.0,0.0,0.0,2.5331702,0.0,0.0,0.76888245,0.0,0.39406765,0.0,0.0,0.0,0.0,2.263571,0.0,0.0,1.5839072,1.0421447,2.059842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1604061,0.0,0.21439496,0.0,0.0,0.0,0.2872933,0.0,0.0,0.0,0.0,3.926484,0.5438817,2.94031,0.36939454,0.0,0.12759636,0.0,0.0,0.35815763,0.0,0.0,0.0,0.48908925,0.0,0.1406501,0.16308717,1.1209089,0.0,0.0,0.59284216,0.54715943,1.6840457,2.5572019,0.056215357,0.0,0.0,0.0,1.6082109,0.99159527,0.0,0.8966664,0.0,0.0,0.8052649,0.0,0.0,0.0,0.56163585,0.0,0.0,0.0,0.47974887,2.508762,1.0587417,1.6644927,0.0105631035,2.517573,0.0,0.0,1.7871348,0.0,0.0,2.401783,0.026790092,0.3488597,1.2837945,0.0,1.1742043,0.0,0.0,0.0,0.0,0.0,1.2808074,0.0,0.0,0.0,0.0,0.8323328,1.2532722,0.0,2.5519235,0.0,0.0,1.5048656,1.0067574,0.0,0.0036458767,2.9769535,1.2910177,0.0,0.0,0.0,2.3666866,0.0,0.0,0.7388908,3.7985828,0.15340534,0.0,0.0,0.0,0.0,0.21322769,0.0,1.2199018,2.3014994,0.0,0.0,1.3391562,0.0,1.4189143,0.0,0.0,0.29374993,0.28273404,1.8159397,1.2305146,1.0156529,0.0,0.0,0.0,0.76347643,1.7470306,0.448342,1.6963308,1.0067706,1.658965,0.0,0.0,2.0279026,0.9473462,0.0,1.7677639,1.7173973,1.5036072,0.0,0.20248732,0.0,0.0,0.0,0.0,4.522094,0.7530615,0.3221786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37650847,0.20835555,4.7919292,0.27125934,1.0886946,0.0,0.0,1.0687658,0.0,0.0,0.0,0.0,1.2629519,0.0,0.85341406,0.06116676,0.23144236,0.93468106,0.40051308,0.0,0.0,2.4145858,0.78550506,2.0253701,0.0,0.0,0.27845362,1.3902614,0.13604116,0.0,0.20149177,0.71917695,0.0,0.0,0.6948806,0.36711514,4.134376,0.0,0.9396525,0.0,0.0,2.5801153,0.0,0.0,0.0,3.0560927,0.0,0.018643556,2.0828452,0.3314814,0.0,0.22338025,0.5716593
ACH-000638,0.33854315,0.0,1.9035165,0.0,0.0,0.0,0.0,0.0,1.7259978,1.3090872,0.0,0.20832801,0.09204699,0.0,0.0,0.0,0.1353134,0.0,0.16303787,1.5489196,0.0,1.2944041,2.919453,0.0,0.0,0.6919508,0.0,0.0,2.46817,1.2443104,0.24862032,0.0,0.0,0.0,0.8744688,0.0,2.9927366,0.0,0.0,0.43449512,0.8292387,1.5996383,0.19473681,0.0,0.0,0.0,0.33248964,0.0,0.55151194,0.0,0.0,0.0,0.37984738,0.3891257,0.0,0.0,0.0,0.0,0.0,0.27890977,0.0,2.3072886,1.3406652,1.5614855,0.0,0.0,0.0,0.0,0.0,0.68904597,0.24292605,0.0,0.0,0.0,0.23313461,0.0,0.0,1.2818887,0.0,1.0346059,0.0,0.43148664,0.0,1.9785657,0.0,0.0,0.0,0.0,2.381085,1.0834641,0.35083026,0.05155146,0.5103682,0.0,0.0,0.0,0.18138152,0.0,0.5458845,0.0,0.0,0.0,1.9709945,2.0085762,0.1400477,1.2462013,0.0,3.8479939,0.0,0.0,0.9350951,0.0,0.0,2.2490466,0.0,1.398272,2.5970476,0.0,2.069109,0.0,0.7228722,0.0,0.0,0.0,0.85090715,0.0,1.4555199,0.0,0.0,1.5846637,0.0,0.0,1.7014209,0.0,0.0,0.0,0.0,0.0,0.0,1.9773464,0.0,0.0,0.0,0.0,4.1259947,0.0,0.0,0.29951572,1.7824991,1.0464188,0.0,1.2189175,0.0,0.0,0.13031483,0.0,2.2037532,2.4566138,0.63984525,1.2045095,1.5682523,0.0,1.1362079,0.0,0.0,0.0,0.0,1.7871116,0.0,0.0,1.6617546,0.0,0.0,0.0,1.4194415,0.0,2.2185893,0.13188031,1.0546623,0.0,0.0,1.1525016,0.20825122,0.0,2.2370949,0.0,0.0,1.0178275,0.37497556,0.22111855,1.4930336,0.4090738,0.0,2.5342667,1.074427,0.0,0.0,0.0,0.0,0.0,0.06578489,0.0,0.0,0.35672176,0.0,3.911598,1.3193396,0.77901614,0.0,0.0,1.0263982,0.0,0.0,0.0,0.0,2.515402,1.5370457,0.08529983,0.0,0.0,1.7011045,0.0,0.0,0.0,1.5387574,0.0,2.3358138,0.24771686,0.0,1.8446167,1.1536748,0.0,0.0,0.62866354,3.4310505,0.0,1.4090049,0.0,0.3775546,3.9107916,0.0,1.5158292,0.0,0.0,2.3492422,0.0,0.0,0.0,3.7587984,0.0,1.3574585,1.801134,0.33022174,0.0,0.33688465,1.7576005
