ModelID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,TP53,EGFR,KRAS,STK11,KEAP1,BRAF,PIK3CA,ALK,ROS1,MET,ERBB2,NF1,RB1,SMARCA4,CDKN2A,PTEN
ACH-000769,0.13023394,0.0,0.0,0.97654325,0.0,0.0,1.6696059,0.29193535,0.0,0.06106363,0.26908654,0.0,0.0,1.5271108,0.0,0.68741226,1.0608214,0.51458466,0.0,0.6618915,0.5764153,0.0,0.8558319,1.0173498,0.5737658,0.0,0.5551067,0.0,1.4005023,1.2530735,0.23757726,0.0,0.021855742,0.67653245,0.0,0.79189813,0.0,0.0,0.94004214,0.0,0.0,0.0,0.0,0.3389848,1.5869092,0.12573612,0.46455902,0.5893221,0.11193523,0.0,1.0588259,0.0,0.39762577,0.05940737,0.020715687,0.1601089,0.13257203,1.3503784,0.0,0.70007116,0.0,0.24465612,0.0,0.0,0.0,0.0,0.0,0.0,0.38576916,0.0,0.0,0.0,0.103590876,0.0,0.24316008,0.536693,1.0003729,0.0,0.36104518,0.89738977,0.94132006,0.43039346,0.0,0.0,0.0,0.0,0.16367655,0.0,0.0,0.0,1.730944,0.54876745,0.0,0.037843455,0.0,0.0,0.0,0.7911062,0.17542697,0.8125032,1.4791522,0.0,0.68179053,0.0,0.0,0.0,1.4603057,0.012707168,1.2393298,0.0,0.4871105,0.7306808,0.98901945,1.0030549,1.7157294,0.24290627,0.0,0.0,0.0,0.91792613,0.38791576,0.0,0.0,0.43055,0.0,0.0,0.0,0.0,0.5657348,0.0,0.0,0.0,0.0,0.0,1.0219487,0.0,0.2677966,0.6481886,0.0,0.0,0.67317307,0.0,0.12186826,0.99246913,0.1860758,0.0,1.6481193,1.2664926,0.0,0.0,0.0,0.0,1.460009,0.30182177,0.0,1.1169245,0.0,0.0,0.8439139,0.4453689,0.26304033,0.0031446991,0.0,0.0,0.32015783,0.60524964,0.0,0.0,0.0,0.06964589,0.0,0.0,0.9611445,0.0,0.0,0.0,0.0,0.0,1.3416812,0.0,0.41923425,0.0,0.0,1.2301832,1.385929,1.1570467,0.2597574,0.0,0.0,1.7101012,0.9888868,0.0,0.16917586,1.195606,0.67813504,0.4747268,0.0,0.53998536,0.0,0.0,0.0,0.04836932,0.0,0.7615177,0.62531126,0.0,0.3657787,0.0,0.3436266,0.0,0.0,0.2658908,0.0,0.93141407,0.33129713,0.84317356,1.1766982,0.6919208,0.8463457,0.8132557,0.5322421,0.9063315,0.14841692,0.0,0.9086071,0.0226295,0.0,0.0,0.5018365,0.0,0.0,0.0,0.0,0.0,0.15222232,0.0,0.5648883,0.0,0.3298989,0.0,0.0,0.0,0.0,1.0082623,0.36331224,0.0,0.0,1.2343248,1.5597967,0.8150593,0.32685807,2.087811,0.59489346,0.054999985,0.0,0.17716357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACH-000528,0.60327286,1.0442935,0.0,0.0,0.0,0.2404107,1.6875552,0.04427072,0.0,0.41230717,0.0,0.0,0.0,1.0262667,0.5626387,0.86167115,0.0,0.6487185,0.0,0.0,0.5153389,0.0,1.3190708,0.0,0.33643168,1.165914,0.27117312,0.0,0.4234762,0.35806865,0.031918634,0.109708264,0.0,0.8058903,0.0,0.53579926,0.4642156,0.697274,1.0831589,0.0,0.0,0.0,0.8669111,0.60721475,2.1372674,0.0,0.0,0.29525322,0.91795295,0.0,2.068192,1.2810291,0.0,0.34734407,0.22809197,0.0,0.8215806,1.3626474,0.0,0.0,0.0,0.0,0.0,0.0,0.22818725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25038853,0.0,0.69020957,0.07367345,2.1605875,0.0,0.0,0.5500784,0.23453808,0.0,0.0,0.0,0.0,2.2488022,0.30346844,0.0,1.9006891,0.8470366,1.2098863,1.4231846,0.0,0.6112565,0.0,0.0,0.0,0.026616927,1.4946557,0.85648507,0.31244546,0.014894899,0.26855835,0.0,0.0,0.0,0.6159428,0.07713818,0.0,0.0,0.0,1.0970514,0.9686623,1.9391334,0.12203561,0.4134685,0.0,0.73224103,0.0,0.42531797,0.15248246,0.6038434,0.4225112,0.0,0.0,0.45174146,0.0,0.0,0.110937156,0.78174835,0.3897888,0.0,0.0,0.724016,1.5742587,0.59619135,0.0,0.0,0.70230526,0.4012539,0.23364522,0.0,0.10080645,0.4733259,0.25111943,0.0,1.610375,0.0,0.036498852,0.10297011,0.11206143,0.0,1.7462204,0.8675258,0.0,1.4979129,0.0,0.0,0.08022207,0.064717606,1.4485756,0.0,0.0,0.67423075,0.0,0.85811967,0.0,0.0,0.0,0.4426203,0.0,0.0,0.48943925,0.0,0.0,0.1633937,0.0,0.0,0.0,0.99264467,0.475534,0.0,0.0,0.2298046,0.8524612,1.1306814,0.23698889,0.8511603,0.0,1.4422194,0.14326537,0.37085736,1.3433356,0.7567748,0.485111,0.0,0.9265457,0.0,0.0,0.0,0.50072247,0.0,0.5855782,0.33011773,0.38175288,0.0,0.0,0.0,0.0,0.0,0.0014529168,0.5657995,0.0,0.0,0.53522915,0.0,0.27853864,0.0,0.0,0.4711523,1.0300524,1.0476056,1.7621702,0.0,0.34098658,0.0785782,0.0,1.3504452,0.008103465,0.0,0.2041263,0.042196244,0.0,0.053894166,2.0372043,0.779725,0.20139618,0.0,0.5697657,0.42523035,0.0,1.0002403,0.0,0.6660387,3.3248074,0.0,0.0,1.4909121,0.66780704,0.26865828,0.0,1.3368573,0.0,0.722962,0.10928701,2.0266805,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ACH-000585,0.050205078,0.0,0.0,0.22687322,0.0,0.49622014,0.7261639,0.9852201,0.45580456,0.45892534,0.0,0.0,0.0,0.43515214,0.670161,0.07539594,0.213254,0.3850276,0.0,1.1016964,0.4122827,0.02318827,0.47886893,0.0,0.45904487,0.0,0.0,0.0,0.097246245,0.55744946,0.9732538,0.0,0.0,0.0,0.0,0.2152884,0.03771694,0.9903336,0.0,0.0,0.0,0.0,1.1661749,0.5934766,2.1507416,0.0,0.0,0.50883126,0.0,0.35678792,0.13073912,0.0,0.7971313,0.5905404,0.21389657,0.0,0.39447847,0.5415694,0.0,0.8915124,0.0,0.0,0.21244752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495435,0.05911015,0.0,0.80221444,0.26732868,0.0,0.0,0.962878,0.47050968,0.0,0.13001347,0.0,0.0,0.020997355,0.0,0.0,0.23761833,0.02327537,1.1429057,1.7994266,0.0,0.0,0.0,0.0,0.0,0.30093032,0.3546699,1.372091,0.20272945,0.8730362,0.07223481,0.0,0.0,0.52838546,0.7583865,0.0,0.44088966,0.0,0.8607935,0.4892209,1.5087553,1.3284466,0.44246462,0.0,0.5636497,0.0,0.0,0.0,0.14130284,0.0,0.6293374,0.0,0.0,0.042525467,0.41142124,0.46067017,1.0714854,0.46598944,0.6666152,0.0,0.0,0.0,0.0,0.0,0.25460467,0.25626755,0.0,0.6474983,0.5424614,0.111689396,0.8307821,0.25085002,0.0,0.0,1.6649306,0.6657307,0.0,0.4576578,0.0,0.0,1.6127747,0.007814273,0.0,0.59199774,0.104526795,0.039135564,0.0085664075,0.0,0.41986904,0.2665036,0.0,0.03623273,0.0,0.09798786,0.12081581,0.8517175,0.0,0.2298808,0.10884019,0.0,1.5480025,0.0,0.0,0.3729349,1.0735816,0.0,0.0,0.46069288,0.49808756,0.0,0.0,0.91777366,0.72347397,0.79702055,0.0,0.5060997,0.6935213,1.9196441,1.023079,0.15686959,0.0,1.5860599,0.0,0.0,0.0,0.2910992,0.0,0.0,0.0,0.35839048,0.6352669,0.2950122,0.05293201,0.0,1.4618353,0.22752573,0.6836502,0.0,0.0,0.06930461,0.0,1.138346,0.0,0.19137442,0.21131338,0.63110787,0.14198536,0.0,0.92271894,0.74891424,0.71524453,0.47028157,0.15436749,0.045078687,0.2708292,0.0,0.0,0.0,0.0,0.0,0.35214505,0.0,0.0,0.0,0.030516485,0.87247795,0.35974303,0.6638144,0.10401659,0.0,0.0,1.4224892,0.4774464,0.0,0.0,1.1529931,1.475829,0.3135683,0.30135527,1.4248674,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ACH-000176,0.0,0.0,0.12287329,0.0,0.0,0.0,0.5676456,0.58477414,0.23236266,0.0,0.16282378,0.0,0.0,1.0933671,0.3037164,0.12349503,0.0,0.0,0.0,1.7339004,1.6449424,0.0,0.85282314,0.586356,0.71366805,0.00045708474,1.2990161,0.3757182,0.0,0.7064254,0.0,0.0,0.0,0.0,0.013658856,0.0,0.2726057,0.0,1.6736013,0.0,0.0,0.36980402,0.35282266,0.18635824,1.4160638,0.34300536,0.41105497,0.06353521,0.0,1.0218096,0.043722942,0.0,0.0,0.0,0.60891575,0.0,0.36789367,0.20626505,0.17964064,0.33020347,0.5812903,0.20801297,0.71836895,0.0,0.0,0.0,0.0,0.16662258,0.73972225,0.0,0.037201624,0.0,0.0,0.0,0.0,0.0,0.23670767,0.0,0.0,0.41600427,0.0,0.46061525,0.30808985,0.0,0.5624403,0.0,0.0,0.0,0.0,0.6444611,1.7609633,1.6896505,0.122689545,0.0,0.0,0.12089397,0.0,0.038762968,0.19943592,0.6885187,0.25207502,0.7445964,0.12677893,0.5104152,0.0,0.7271868,0.0005111072,0.0,0.093312606,0.0,0.58125794,1.9289423,1.155118,1.0131601,0.94890726,1.0539409,0.41136137,0.0,0.0,0.0,1.7848972,0.0,0.0,0.0,0.0,0.57228684,0.0,0.0,0.16207017,0.0,0.1346257,0.0,0.0,0.0,0.0,0.085490964,0.0,0.6638541,0.47793198,0.0,0.0,1.568266,0.0,0.5573959,0.0,0.0,0.8234231,1.1752584,0.0,0.0,0.92487806,0.80590314,0.80967945,0.06974815,0.0,0.56008244,0.0,0.17414458,0.0,0.6085012,1.0636871,0.5128264,0.0,1.0396421,0.0,0.0,0.5048501,0.024944851,0.0,0.76292264,0.0,0.6407202,1.4936767,0.0,0.0,0.0,0.0,0.0,0.2730228,0.0,0.18183184,0.20478123,0.0,0.13917476,1.8034827,0.6746534,0.82316375,0.66028905,0.0,0.082774766,1.5036389,0.0,0.0,0.46164948,0.28285217,0.0,0.0,0.12041807,0.0,0.0,0.6420657,0.0,1.2914819,0.6698917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57385516,0.2590938,1.756001,0.0,0.12642916,1.8404403,0.638687,1.4654286,0.0,0.2920318,1.6014099,0.66584957,0.53801775,1.1211348,0.7759092,0.0,0.42489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13364975,0.18133895,0.61002135,0.0,0.0,0.0,0.013250872,1.0259923,0.0100969,0.5243157,0.0,0.700183,0.9384982,0.0,0.9315143,1.2708212,0.45377204,0.0,0.26909012,0.3293832,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACH-000587,0.36017218,0.0,0.0,0.0,0.0,0.0,1.3947383,1.1889746,0.0,0.96362627,0.0,0.0,0.0,0.29468477,0.48157898,0.0,0.0,0.0,0.0,1.0095683,1.5965179,0.0,0.0,0.16736484,1.0786444,0.0,1.135908,0.0,0.0,0.34145933,0.18731532,0.0,0.0,0.0,0.050170723,0.15108442,0.23427284,0.23827802,1.2149211,0.0,0.0,0.16394052,0.16470997,0.0,1.7158852,0.0,0.116994575,0.018693356,0.0,0.0,0.0,0.0,0.0,0.0,0.42132735,0.0,0.0,0.28877664,0.0,0.0,0.39791274,0.0,0.29283696,0.0,0.18202919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11939901,0.0,0.0,0.0,0.9638318,0.0,0.0,0.23674545,0.0,0.6564413,0.27309108,0.0,0.19746293,0.25640023,0.07607357,0.72099066,0.0,0.59866375,1.1109048,0.41680795,0.3853111,0.0,0.0,0.0,0.0,0.0,0.4397807,0.0958864,0.0,0.36250296,0.0,0.0,0.0,0.0,0.2765296,0.0,0.6225655,0.0,0.06433057,0.79109454,0.23885493,0.4502811,0.23930748,0.26492926,0.0,0.0,0.0,0.0,0.8422017,0.0,0.38508892,0.0,0.0,0.13877898,0.0,0.0,0.0,0.52664274,0.0,0.0,0.0572269,0.10743296,0.0,0.3091294,0.0,0.7601892,0.0,0.0,0.25246143,0.60703963,0.18638635,0.1931502,0.0,0.0,0.14236766,0.6228074,0.0,0.32190996,0.5543016,0.18444417,0.70378536,0.19795786,0.0,0.20764992,0.0,0.0,0.0,0.0,0.6555046,0.16320732,0.0,0.6449454,0.20975736,0.24699368,0.3111847,0.32723647,0.13536456,0.07470126,0.0,0.0,1.136774,0.0,0.0,0.0,0.54213893,0.0,0.0,0.83249813,0.0,0.2884416,0.6559518,0.0,0.3287258,0.03456346,0.0,0.3826212,0.0,0.2888306,0.80620277,0.0,0.0,0.0,0.9444522,0.0,0.770144,0.0,0.0,0.0,0.26064107,0.2326877,1.0325519,0.5430005,0.0,0.0,0.93245053,0.39611265,0.0,0.0,0.0,0.4319645,0.34249318,1.0733168,0.19149187,0.1042818,1.4965284,0.0,0.710706,0.0,0.02355473,0.46549362,0.0,0.0,0.005207886,0.5217297,0.40257183,1.1780591,0.0,0.0,0.0,0.0,0.0,0.023558782,0.0,0.0,0.0,0.16431849,0.23563087,0.0,0.0,0.13318297,0.0,0.99476963,0.27707878,0.51076674,0.0,0.8529148,0.44330764,0.23210534,0.0,0.64510626,0.0,0.0,0.0,0.8466152,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ACH-000627,1.255108,0.0,0.0,0.056313768,0.0,0.0,0.5789935,0.16529809,0.1121331,0.82531214,0.0,0.0,0.0,1.8063825,0.41552448,0.0,0.0,0.15500158,0.0,1.5764129,1.6798524,0.1005641,1.5276235,1.2500343,1.6294299,0.0,1.4765794,0.0,0.0,1.5372345,0.051180784,0.0,0.0,0.0,0.33514494,0.22596276,0.08767776,0.0,1.5077283,0.05532624,0.0,0.6687295,1.0684916,0.44625932,1.954155,0.0011014593,0.17510127,0.0,0.0,0.0,0.52420706,0.0,0.0,0.93466324,0.0,0.88696444,0.0,1.2517946,0.0,0.31901196,0.0,0.0,1.2246084,0.0,0.9028287,0.0,0.0,0.41681924,0.44057932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5865711,0.0,1.3787115,1.1088468,0.0,0.78443766,0.72207576,0.2311173,0.0,0.0,1.0617188,2.4527926,1.1772234,0.0,0.0,0.0,0.0,0.0,0.0,0.634208,1.1367772,1.0397654,0.53255665,0.9765156,0.0,0.0,0.0,0.82889336,0.0,0.86112726,0.0,0.0,1.4442457,0.8812761,1.7213042,1.7158417,0.8132521,0.32521856,0.0,0.0,0.0,1.6251205,0.0,1.101725,0.0,0.0,0.0,0.0,0.0,1.071369,0.33040205,1.3449672,0.0,0.0,0.7613787,0.5334245,0.59218717,0.0,0.6327747,0.16991648,0.0,0.0,0.0,0.69115865,0.5877769,0.80495304,0.0,1.1956084,0.29945675,0.0,0.06659636,0.40757695,0.3581681,2.2566478,0.0,0.0,0.0,0.0,0.0,0.2450575,0.8222809,0.6497047,0.0,0.0,0.06665858,0.0,0.8565216,0.0,0.24538323,0.19309925,0.55336463,0.0,0.67419183,1.7671093,0.0,0.0,0.06358854,0.30198285,0.0,1.3236774,0.9094669,0.11703216,0.0,0.0,0.7017943,1.0956517,0.14012426,0.1596253,0.6094801,0.26324517,0.0,0.73757476,0.0,0.9219748,1.0389229,0.8179471,0.0,1.8064972,1.7567711,0.96377695,0.0,0.18905818,0.3327439,0.8494547,0.47900417,0.37022632,0.0,0.0,0.5227943,0.0,0.0,0.0,0.21403517,0.0,1.8385406,0.0,0.2419936,2.0403259,0.0,2.0408008,0.18863253,1.038546,0.58735454,0.50046504,0.0,1.1540174,1.2029221,0.31358716,0.30112648,0.06943334,0.0,0.0,0.0,0.46795103,0.0,0.9130931,0.0,0.0,0.83642167,0.20308697,0.0,0.0,0.0,0.0,0.24598974,0.13403794,0.25569275,0.4150502,0.23018293,0.83378774,0.0,0.6210515,1.0438843,0.05305526,0.0,0.0,0.5761572,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACH-000392,0.0,0.49095237,0.0,0.008126212,0.0,1.8284645,0.3538342,3.1577435,0.032552317,0.0,1.1086884,0.0,0.07487351,3.2922971,0.831738,0.5600141,0.0,2.4136748,0.0,1.4540862,1.2184173,1.0864569,0.84250593,0.4538106,0.0,0.5064183,0.0,0.24298784,0.54405147,1.4950422,0.0,0.0,0.0,0.32435146,0.0,0.0,0.0,0.72549397,1.5763627,0.116950914,0.0,0.0,0.4682552,0.0,1.9490294,0.0,0.0,0.0,0.7225046,1.8063978,0.6757653,0.0,0.0,0.0,0.0,0.7377203,0.0,0.18140109,0.0,0.50969356,0.42885852,0.24291298,0.0,0.49416745,0.0,0.40620595,0.0,0.6510421,0.14266713,0.0,0.90313315,0.0,0.0,0.0,1.4079492,0.0,1.7543439,0.0,0.0,0.32338706,0.8505782,0.0,0.66903734,0.0,0.111700915,0.0,0.0,0.0,1.3002996,0.52582926,1.353419,1.0548149,0.0,0.26392683,0.43595004,0.0,0.0,0.0,1.9924875,0.863729,0.0,0.10549596,0.0,0.82427615,0.016358526,0.0,0.1501221,0.0,0.0,0.0,0.65938824,1.0323689,1.7735361,2.048776,1.4542983,0.83343315,0.0,0.41009727,0.0,0.04556378,1.072978,0.0,0.0,0.4587133,0.08343438,0.0,0.0,0.0,1.1969938,0.7412104,0.45603833,0.0,0.047835983,0.0,0.8209006,1.0482947,0.0,0.0,0.60064465,0.36523724,0.0,1.1928196,1.0053465,0.0,0.0,0.0,2.1331875,1.323831,0.0,0.0,0.0,0.0,0.7532998,0.0,0.0,0.6529939,0.0,0.0,0.15123788,0.0,0.25316033,1.2156262,0.0,1.0510327,0.0,0.3417933,0.0,0.10684222,0.98288494,0.0,0.0,0.10493096,0.6604634,0.0,0.0,0.07522089,0.0,0.0,0.0,0.93969446,0.0,0.0,0.0,0.32251614,1.198496,1.7471223,2.3063178,2.0554905,0.0,1.4622202,1.6764032,0.0,0.7689376,0.3429001,0.77911264,0.05884686,0.0,0.0,0.0,0.6676303,0.9739415,0.20423654,0.57938576,1.1932048,1.4047738,0.0,0.18664686,0.0,0.2998303,0.34645337,0.0,0.6437963,0.0,0.0,0.20301422,0.0,0.0,0.0,0.10724243,0.0,0.656272,1.5172292,1.4796337,0.0,0.6617467,0.26698703,0.0,0.454779,1.1509434,0.21582228,0.0,0.0,1.3239112,0.0,0.92106473,0.5586275,0.0,0.16939023,0.13464496,0.0,0.0,0.0,0.0,2.0950243,0.0,0.011806681,0.399192,0.71720636,1.0325212,0.0,0.0,1.683861,0.2235513,1.6827255,0.0,0.44697976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACH-000035,0.400138,0.0,0.0,0.18330735,0.0,0.0,1.1014316,0.78265834,0.0,1.0999334,0.77701336,0.0,0.0,1.2016913,0.0,0.034583926,0.21360543,0.0,0.0,0.9630213,1.389875,0.0,0.0,0.0,1.4340857,0.7904323,1.496842,0.25512886,0.0,0.76250446,0.0,0.0,0.0,0.0,0.0,0.0,0.6650802,0.0,2.5425506,0.0,0.0,0.0,0.0,0.21211326,1.910734,0.09955182,1.3106983,0.0,0.0,0.0,0.96259505,0.0,0.0,0.0,1.0188215,0.03786126,0.0,1.1168449,0.0,0.0,0.6748212,0.0,0.0,0.0,0.0,0.0,0.0,0.6958091,0.7223388,0.0,0.01359017,0.0,0.23982468,0.0,0.0,0.44547495,0.0,0.0,0.0,0.79511106,0.0,0.0,0.13825905,0.3631395,0.0,1.6200627,0.6201989,1.7381555,0.3861455,0.19443026,1.7042496,0.007864479,1.4736661,0.4677774,0.0,0.0,0.0,0.0,0.5443071,1.458791,0.14858441,1.2751522,1.0323064,0.6107353,0.0,0.0,0.0,0.0,0.912274,0.0,0.0,2.507334,1.1523708,2.5863445,1.4827253,0.7311184,0.30453768,0.0,0.0,0.0,0.0,0.0,0.314389,0.0,0.52707994,0.0,0.0,0.0,0.28204355,2.08157,0.0,0.0,0.32045376,0.52099395,0.36303276,0.5189579,0.0,0.26792806,0.07858547,0.0,0.0,0.15732369,0.57191765,1.991791,1.6561053,0.0,0.022020902,0.697786,0.0,0.7981904,0.8616903,0.33233035,1.0132076,1.2297251,0.0,1.5170683,0.0,0.0,0.0,2.2122169,1.402907,0.8524417,0.35972542,0.020619651,0.0,0.0,0.015825676,0.0,0.0,0.30078617,0.0,0.6566337,2.3746467,0.0,0.0,0.8685289,0.44851544,0.0,0.36260292,0.8579524,0.0,0.0,0.21386896,0.0,0.0,1.4303429,0.42330733,0.73546624,0.0,1.1993171,1.4109646,0.0,0.0,1.2510009,0.41075242,0.0,1.3825003,0.90317565,0.08956701,0.2420778,0.0,0.2452766,1.4589554,1.0787269,0.21155252,0.0,0.0,0.8132588,0.0,0.0,0.0,0.0,0.0,1.0788463,0.60922235,0.016173542,2.4712083,0.0,0.36325163,0.13204706,0.731761,1.4231209,1.1087228,0.0,1.5614138,0.72857946,0.0,1.9050333,0.0,0.0,0.7830605,0.0,0.40666568,0.0,0.0,0.0,0.33945334,0.78454983,0.7494782,0.0,0.0,0.0,0.8400198,0.0,0.570771,0.0,0.0,0.7664224,1.0430318,0.24484372,0.32202208,1.2663292,0.0,0.46788687,0.0,1.6768546,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACH-000894,0.0,0.5813945,0.0,0.6581214,0.0,1.3117422,0.09351369,2.053537,0.0,1.1786404,0.310919,0.0,0.0,2.911811,0.20422693,1.3373517,0.394245,2.1085336,0.0,1.9035525,1.7247185,0.0,0.8635689,0.0,0.0,1.0012321,0.10591964,0.0,1.154304,2.1009698,0.0,0.0,0.0,0.24466036,0.0,0.0,0.0,1.0316668,1.593584,0.3451673,0.0,0.0,0.34201765,0.0,2.4478214,0.0,0.0,0.0,0.6035282,0.7196137,0.93896556,0.0,0.15077958,0.0,0.3692992,0.0,0.4305683,0.5959182,0.0,0.58393675,0.63826,1.5425662,0.0,0.5617632,1.0346931,0.0,0.0,0.0,0.45194086,0.0,0.0,0.48090047,0.0,0.0,0.2376843,1.8188658,0.38107124,0.0,0.5127885,0.0,0.0,0.14440651,0.14010742,0.0,0.0,0.075419314,0.0,0.0,0.24617644,1.5763462,2.1540504,1.4772116,0.6557616,0.17118825,0.0,0.0,0.0,0.0,1.2833265,0.81756705,0.0,0.056985166,1.326917,2.1408353,0.0,0.0,0.0,0.0,0.0,0.0,0.5750155,1.319913,2.8135593,2.3728464,1.7222514,0.21567476,0.0,0.8460114,0.0,0.4582468,0.0,0.0,0.0,0.0,0.20414355,0.0,0.0,0.0,1.6394602,0.0,0.99403834,0.0,0.0,0.0,1.2553527,0.92178124,0.0,0.2171639,1.6788565,0.0,0.64589477,0.08527989,0.57139105,0.0,0.29511812,0.0,2.6477468,1.1043615,0.0,0.0,0.55955017,0.0,1.5360171,0.0,0.0,1.9310297,0.0,0.0,0.032530006,0.0,0.3339185,0.0,0.0,0.84062237,0.0,0.0,0.0,1.0858864,0.0,0.0,0.0,0.1927816,0.15428853,0.0,0.0,0.0,0.5256782,0.0,0.2626685,1.0021214,0.0,0.0,0.0,0.021488566,0.8620119,0.022481374,0.8719729,1.2408001,0.7598492,1.1723303,2.394067,1.0998609,0.0,1.7933209,0.3849215,0.0,0.0,0.0,0.71113753,0.0,0.36285546,0.0,0.33109847,1.0692043,1.4771172,0.0,0.67434454,0.0,1.0741631,1.1571691,0.0,0.3076245,0.0,0.0,1.0168031,0.54847807,0.08610606,0.0,1.6335189,0.0,0.0,0.62880033,1.0619624,0.0,0.69373584,2.7053401,0.0,1.2790728,0.48454562,0.0,0.0,0.0,0.96579623,0.0,2.7630818,0.724458,0.7678244,0.0,0.0,0.0,0.0,0.0,0.8043533,1.8594975,0.9252314,1.5384158,0.6458922,0.45176607,2.294628,0.0,1.4355206,1.5924497,0.0,0.9452296,1.7163161,0.019869477,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACH-000638,0.40948263,0.7934025,0.0,0.0,0.0,0.0,0.90949196,2.2268577,0.0,0.08625607,0.0,0.0,0.0,1.1398273,0.041718263,0.3934307,0.050125338,1.340514,0.0,2.230021,1.604111,0.0,0.1957888,0.0,1.6499839,1.3503194,0.0,0.0,0.93612045,0.17173986,0.0,0.0,0.7582232,1.0843643,0.0,0.56128114,0.0,0.6607558,1.183332,0.29098424,0.0,0.0,0.3347497,0.9672533,2.484625,0.4722244,0.0,0.508936,0.25945532,0.0,1.1498845,0.0,0.0,1.6337177,0.07253503,0.0,0.0,0.26892048,0.0,0.29175416,0.9626201,0.85333925,0.0,0.009095749,0.6325431,0.27369833,0.0,0.0,0.0,0.0,2.1009984,0.0,0.5147271,0.0,0.0,0.36058956,1.0569391,0.0,0.0,1.9640607,0.39554322,0.0,0.5223088,0.0,0.0,0.0,0.5778591,0.0,0.6646343,1.4968221,2.383904,0.4589805,1.807726,0.6671861,0.0,0.0,0.0,0.0,1.4432646,0.0,0.59945345,0.0,0.6562543,1.0612978,0.0,0.0,0.0,0.17983204,0.0,0.0,0.0,2.3015282,0.0,1.3588592,1.3243576,0.0,0.69971764,0.932593,0.03478498,0.62882847,0.34607753,0.0,1.6458184,0.911158,0.0,0.0,0.0,0.0,0.5774535,0.0,0.63037115,0.0,0.0,0.0,0.97056675,1.0173905,0.0,1.7076145,0.49827316,0.0,0.9962893,1.5842662,0.0,0.0,0.0,0.0,1.471755,1.0215638,0.0,0.0,0.0,0.6359284,1.9697934,0.0,0.0,0.7479042,0.0,0.0,0.69484496,0.14694288,1.6371262,0.0,0.0,0.8741445,0.0,0.26246303,0.31413776,0.0,0.0,0.15351857,0.0,0.24945107,1.4497436,0.0,0.0,0.0,1.2101486,0.0,0.8133084,0.777203,0.0,0.0,0.0,0.01621199,0.0,0.5464942,0.83245665,0.61683416,0.098410234,1.3812851,2.0004678,0.08908006,0.0,1.0707202,0.07409315,0.0,0.42722127,1.1577759,0.35963684,0.0,0.0,0.0,0.0,2.3785076,0.49354103,0.0,0.0,0.0,1.2342231,0.0,0.0,0.0,0.0,1.2969935,0.40543136,0.87522525,0.12632026,0.0,2.0050457,0.64693284,0.0,1.7531909,0.3032404,0.0,1.6182686,2.2424426,0.0,1.3208477,0.0,0.22944227,0.0,0.0,1.1336199,0.0,0.76423943,0.12930413,0.35188967,0.0,0.0,0.0,0.008499164,0.0,0.0,1.1956227,0.0,1.3292114,0.47481868,1.9721602,2.9107637,0.25387293,0.47649395,1.2213184,1.492439,1.4352059,1.2291696,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
